feature,importance
0,0.83999306
4,0.08849141
15,0.033349358
3,0.023486411
9,0.0059772474
2,0.0040457975
13,0.0035948385
5,0.0007170881
10,0.00034476846
1,0.0
6,0.0
7,0.0
8,0.0
11,0.0
12,0.0
14,0.0
